BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
8901088067843,85,PARACHUTE AD TENDER COCONUT HAIROIL200ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088067850,120,PARACHUTE AD TENDER COCONUT HAIROIL300ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088067874,165,SET WET STYLE DEO RAVE 150ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088067881,165,SET WET STYLE DEO BITE 150ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088067898,150,SET WET STYLE DEO LOUNGE 150ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088068734,15,Saffola Masala Oats Classic Masala 43 gm,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088068741,15,Saffola Masala Oats Peppy Tomato 43 gm,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088068758,15,SAFFOLA OATS MASALA VEGGIE TWIST 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088068765,15,SAFFOLA OATS PEPPER&SPICE PP 42g,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088068772,15,SAFFOLA OATS CURRY & PEPPER 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088068789,15,SAFFOLA OATS MASALA & CORIANDER 40g,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088069717,130,SET WET HAIR GEL CASUAL HOLD BT 250ml,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088069724,130,SET WET HAIR GEL ULTIMATE HOLD BT 250ml,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088069816,92,PARACHUTE AYURVEDIC HAIR OIL 300 ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088070188,65,SAFFOLA OATS MULTI FLAVOUR,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088071222,255,PARACHUTE BL CONT BUTTER SMOOTH BT 400ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088071239,160,PARACHUTE BL CONT BUTTER SMOOTH BT 250ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088071246,75,PARACHUTE BL CONT BUTTER SMOOTH BT 100ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088071291,130,SAFFOLA OATS VEGGIE TWIST 400G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088071321,130,SAFFOLA OATS MASALA CURRY&PEPPER PP 400g,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088076159,10,PARACHUTE 38ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088120302,31,PARACHUTE HAIR & CARE 100,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088702522,88,REVIVE STARCH JAR NEW 400G,HOME CARE,FABRIC SOFTENER/LIQUID WASJ,MARICO,REVIVE STARCH ,PC
8901088702997,13,MANJAL SOAP 75G,PERSONAL CARE,BAR SOAPS,MARICO,MANJAL ,PC
8901095000017,390,SOCIETY CTC TEA LEAF PP 1K,BEVERAGES,TEA,AMAR TEA,SOCIETY ,PC
8901095004022,58,SOCIETY TEA 250G JAR,BEVERAGES,TEA,AMAR TEA,SOCIETY ,PC
8901095800082,0,SOCIETY LEMON TEA BAG,BEVERAGES,TEA,AMAR TEA,SOCIETY ,PC
8901095800099,0,SOCIETY TEA 25 GREEN LEMON TEA BAG,BEVERAGES,TEA,AMAR TEA,SOCIETY ,PC
8901097031255,96,NIVEA SOAP [1SET] 3NO*125G,PERSONAL CARE,BAR SOAPS,BIERSDORF,NIVEA ,PC
8901097051000,104,NIVEA AFTER SHAVE MOISTURISER,PERSONAL CARE,MALE GROOMING - AFTER SHAVE,BIERSDORF,NIVEA ,PC
8901097140308,0,NIVEA SHAVING CREAM 30GM,PERSONAL CARE,MALE GROOMING - SHAVING CREAM/LOTIONS/GEL,BIERSDORF,NIVEA ,PC
8901097140704,55,NIVEA SHAVING CREAM 70G,PERSONAL CARE,MALE GROOMING - SHAVING CREAM/LOTIONS/GEL,BIERSDORF,NIVEA ,PC
8901097252001,142,NIVEA MOISTURISER 200ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
8901097261003,80,NIVEA LOTION DRY 100ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
8901097272009,93,NIVEA LOTION NORMAL 200ML,PERSONAL CARE,"CREAMS, LOTIONS",BIERSDORF,NIVEA ,PC
8901103101026,0,FEM FAIRNESS BLEACH SAFFRON 26.4 GM,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101033,0,FEM FAIRNESS BLEACH SAFFRON 52.8 GM,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101088,40,Fem Apple and Peach Hair Removal cream 26gms,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103101095,80,FEM BLEACH PINK 52.8G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101118,32,FEM CREAM BLEACH PEARL&MILK 6.6g,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101125,55,FEM FAIRNESS CRM BLEACH MILK&PEARL 26.4G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101132,80,FEM FAIRNESS CRM BLEACH MILK&PEARL 52.8G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103101156,27,FEM SAFFRON FAIRNESS CREME BLEACH 6.6G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
